[2019-07-31 22:34:04,056]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?", "request": null, "response": {}}
[2019-07-31 22:34:22,263]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?", "request": null, "response": {}}
[2019-07-31 22:35:50,206]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?", "request": null, "response": {}}
[2019-07-31 22:37:06,525]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/auth?client_key=CLIENT07&client_secret=SECRET08", "request": null, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjQ1ODc0MjYsIm5iZiI6MTU2NDU4NzQyNiwianRpIjoiZWQ4M2JhYWMtMDc0NC00MzI4LWJlMTQtZWRjMTNlZTE1MjkxIiwiZXhwIjoxNTY0NTkxMDI2LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJDTElFTlQwNyIsInN0YXR1cyI6dHJ1ZX0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImNsaWVudF9pZCI6MiwiY2xpZW50X2tleSI6IkNMSUVOVDA3Iiwic3RhdHVzIjp0cnVlfX0.3YQB0C7zz1mcg6PoHF5Jhu5bVvmkoYQtTM9Zm6RPqjY", "client": {"client_id": 2, "client_key": "CLIENT07", "status": true}}}
[2019-07-31 22:37:55,691]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?", "request": null, "response": {"client_id": 2, "client_key": "CLIENT07", "status": true}}
[2019-07-31 22:50:53,077]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:70} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/auth?client_key=CLIENT01&client_secret=SECRET02", "request": null, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjQ1ODgyNTMsIm5iZiI6MTU2NDU4ODI1MywianRpIjoiMTZlNDgzYTQtNTQ0NS00NjE4LTg0NDgtYmIyNzU2MWExODIzIiwiZXhwIjoxNTY0NTkxODUzLCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9fQ.fKxSNustKnVtL6BBFERztuOOpv7NAlNlzPQRfl04AU0", "client": {"client_id": 1, "client_key": "CLIENT01", "status": false}}}
[2019-07-31 22:59:32,609]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "403 FORBIDDEN", "uri": "/Client/1?", "request": null, "response": {"status": "forbidden", "message": "internal only!"}}
[2019-07-31 23:01:40,077]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "403 FORBIDDEN", "uri": "/Client/list?", "request": null, "response": {"status": "forbidden", "message": "internal only!"}}
[2019-07-31 23:02:56,276]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/auth?client_key=CLIENT07&client_secret=SECRET08", "request": null, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjQ1ODg5NzYsIm5iZiI6MTU2NDU4ODk3NiwianRpIjoiZTQ5NjUzYTAtYTM1MS00M2EwLTlkYTYtMjRmMDg2YWE0NTVjIiwiZXhwIjoxNTY0NTkyNTc2LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjIsImNsaWVudF9rZXkiOiJDTElFTlQwNyIsInN0YXR1cyI6dHJ1ZX0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImNsaWVudF9pZCI6MiwiY2xpZW50X2tleSI6IkNMSUVOVDA3Iiwic3RhdHVzIjp0cnVlfX0.q5_KRAKUOmxD8Gs0WjFFPsL8BAJBs392zKwfuS4HozQ", "client": {"client_id": 2, "client_key": "CLIENT07", "status": true}}}
[2019-07-31 23:04:02,825]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?client_key=CLIENT07&client_secret=SECRET08", "request": null, "response": {"client_id": 2, "client_key": "CLIENT07", "status": true}}
[2019-07-31 23:04:16,480]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/Client/1?client_key=CLIENT07&client_secret=SECRET08", "request": null, "response": {"client_id": 1, "client_key": "CLIENT01", "client_secret": "SECRET02", "status": false}}
[2019-08-01 09:08:43,465]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "401 UNAUTHORIZED", "uri": "/auth?client_secret=CLIENT01&client_key=SECRET02", "request": {"user_id": 2, "books_id": 4}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-08-01 09:08:58,469]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "401 UNAUTHORIZED", "uri": "/auth?client_secret=CLIENT01&client_key=SECRET02", "request": {"user_id": 2, "books_id": 4}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-08-01 09:09:30,576]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "401 UNAUTHORIZED", "uri": "/auth?client_secret=CLIENT01&client_key=SECRET02", "request": {"user_id": 2, "books_id": 4}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-08-01 09:09:40,911]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:60} ERROR - REQUEST_LOG	{"method": "GET", "code": "401 UNAUTHORIZED", "uri": "/auth?client_secret=CLIENT01&client_key=SECRET02", "request": {"user_id": 2, "books_id": 4}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-08-01 09:10:28,098]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/auth?client_key=CLIENT01&client_secret=SECRET02", "request": {"user_id": 2, "books_id": 4}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjQ2MjU0MjgsIm5iZiI6MTU2NDYyNTQyOCwianRpIjoiYmM2MmIzNmYtODE4Yi00NmYxLWJmMzYtMDgwNjU1ODMxMWFlIiwiZXhwIjoxNTY0NjI5MDI4LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9fQ.rD4nMnQEwRMqY_TYLlbtNWKcur3sG89svFgP4HsRCK0", "client": {"client_id": 1, "client_key": "CLIENT01", "status": false}}}
[2019-08-01 09:10:53,489]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth?", "request": {"user_id": 2, "books_id": 4}, "response": {"client_id": 1, "client_key": "CLIENT01", "status": false}}
[2019-08-01 09:11:45,386]{/home/alta12/Documents/flask/REST_PRACTICE/blueprints/__init__.py:69} WARNING - REQUEST_LOG	{"method": "POST", "code": "200 OK", "uri": "/auth/refresh?", "request": {"user_id": 2, "books_id": 4}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NjQ2MjU1MDUsIm5iZiI6MTU2NDYyNTUwNSwianRpIjoiNTFhOGRlZDYtODgwNy00ODE5LWFkMzgtNDI4ZGY1ZmJlNWI2IiwiZXhwIjoxNTY0NjI5MTA1LCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9rZXkiOiJDTElFTlQwMSIsInN0YXR1cyI6ZmFsc2V9fQ.ygXNMrye2YyeTS9fd7ciZ2KVnUtoAgLqtDUwnMsE2Ds"}}
